Parameter,Equipment,USEPA Approved Procedure,Units,CMC Code,Tier,Tier Justification,Analytical Method,Matrix,Tidal,Non Tidal?,Requires Sample Depth?,Requires Duplicate?,NonfatalLowerRange,NonfatalUpperRange,CBP Method,Precision,Accuracy,Range,In Situ Or Lab?,Qc Criteria?,Inspection Frequency,Inspection Type,Calibration Frequency,Standard Or Cal Instrument Used,,Holding Time,Sample Preservation
Turbidity,Turbidimeter (ex. Hach 2100P),USEPA Method 180.1,NTU,WC.3,1,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; <10% field replicate,Probe,Water,TRUE,TRUE,FALSE,TRUE,,,402,,Â± 2%,0.01-1000 NTU,,<0 cm; >300 cm,Before each use,,N/A,N/A,,N/A,N/A
Turbidity,Turbidimeter (ex. Hach 2100P),USEPA Method 180.1,NTU,WC.8,p2,Historic dataset/not trained using CMC methods,Probe,Water,TRUE,TRUE,FALSE,TRUE,,,999,,Â± 2%,0.01-1000 NTU,,,,,Before Each Use,,,48 hours,cool
Water Clarity,Turbidity Tube (Forestry Suppliers 77107; Ben Meadows 111360),See CMC Methods Manual,cm,WC.4,1,N/A,Kit,Water,TRUE,TRUE,FALSE,TRUE,0,120,999,2 cm,Unknown - testing needed,0 - 60 cm; 0 - 120 cm,,<0 cm; >300 cm,Before each use,Transparency tube is clean,N/A,N/A,,N/A,N/A
Water Clarity,Turbidity Tube (Forestry Suppliers 77107; Ben Meadows 111360),See CMC Methods Manual,cm,WC.10,p1,Historic Dataset,Kit,Water,TRUE,TRUE,FALSE,TRUE,0,120,999,2 cm,Unknown - testing needed,0 - 60 cm; 0 - 120 cm,,<0 cm; >300 cm,Before each use,Transparency tube is clean,N/A,N/A,,N/A,N/A
Water Clarity,Turbidity Tube (Forestry Suppliers 77107; Ben Meadows 111360),See CMC Methods Manual,cm,WC.11,p,missing QA procedures,Kit,Water,TRUE,TRUE,FALSE,TRUE,0,120,999,,,,,N/A,,,,,,,
Water Clarity,Secchi Disk (Ben Meadows 224217),See CMC Methods Manual,M,WC.2,3,Tier III approved QAPP,Probe,Water,TRUE,TRUE,FALSE,TRUE,0,5,225,10 cm,20 cm,0 - 300 cm ,,<0 cm; >300 cm,Before each use / Annual ,Marks are still attched/visible and rope is not knotted / Check against tape measure for stretch,Annually,Tape measure,,N/A,N/A
Water Clarity,Secchi Disk (Ben Meadows 224217),See CMC Methods Manual,M,WC.1,1,N/A,Probe,Water,TRUE,TRUE,FALSE,TRUE,0,5,225,10 cm,20 cm,0 - 300 cm ,,<0 cm; >300 cm,Before each use / Annual ,Marks are still attched/visible and rope is not knotted / Check against tape measure for stretch,Annually,Tape measure,,N/A,N/A
Water Clarity,Secchi Disk (ex. Ben Meadows 224217),See CMC Methods Manual,M,WC.7,p1,Historical data/not trained using CMC methods,Probe,Water,TRUE,TRUE,FALSE,TRUE,0,5,225,10 cm,20 cm,0 - 300 cm,,<0 cm; >300 cm,Before each use / Annual,Marks are still attched/visible and rope is not knotted / Check against tape measure for stretch,Annually,Tape measure,,,
Water Temperature,Armored Glass Thermometer (ex. LaMotte 1066),USEPA Method 170.1,deg C,WT.1,2,"Verified, >10% field replicates",Probe,Water,TRUE,TRUE,FALSE,TRUE,-5,50,414,0.5 deg C,1 deg C,-5 - 45 deg C,,<-1 deg C; >35 deg C,Before each use,Thermometer reads approximate air temperature; armored case is intact; no gaps in liquid column,Annually,NIST verified thermometer,,N/A,N/A
Water Temperature,Armored Glass Thermometer (ex. LaMotte 1066),USEPA Method 170.1,deg C,WT.8,p2,Historic dataset/not trained using CMC methods,Probe,Water,TRUE,TRUE,FALSE,TRUE,,,414,0.5 deg C,1 deg C,-5 - 45 deg C,,N/A,,N/A,,N/A,,N/A,N/A
Water Temperature,Armored Glass Thermometer (ex. LaMotte 1066),USEPA Method 170.1,deg C,WT.6,1,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; <10% field replicate,Probe,Water,TRUE,TRUE,FALSE,TRUE,0,50,414,0.5 deg C,1 deg C,-5 - 45 deg C,,<-1 deg C; >35 deg C,Before each use,Thermometer reads approximate air temperature; armored case is intact; no gaps in liquid column,N/A,None,,N/A,N/A
Water Temperature,Armored Glass Thermometer (ex. LaMotte 1066),USEPA Method 170.1,deg C,WT.12,p1,historic dataset/QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; <10% field replicate,Probe,Water,TRUE,TRUE,FALSE,TRUE,0,50,414,0.5 deg C,1 deg C,-5 - 45 deg C,,Thermometer reads approximate air temperature; armored case is intact; no gaps in liquid column,,,Before Each Use,N/A,,,
Water Temperature,Digital Thermometer (ex. Hanna 98509),USEPA Method 170.1,deg C,WT.2,2,"Verified, >10% field replicates",Probe,Water,TRUE,TRUE,FALSE,TRUE,0,50,413,0.1 deg C,+- 0.5 deg C,-50 - 150 deg C,,<-1 deg C; >35 deg C,Before each use,Thermometer functions properly and reads approximate air temperature. Metal stem is undamaged. ,Annually,NIST Verified thermometer,,N/A,N/A
Water Temperature,Digital Thermometer (ex. Hanna 98509),USEPA Method 170.1,deg C,WT.9,p2,Historic dataset/not trained using CMC methods,Probe,Water,TRUE,TRUE,FALSE,TRUE,,,413,0.1 deg C,+- 0.5 deg C,-50 - 150 deg C,,N/A,,N/A,,N/A,,N/A,N/A
Water Temperature,Digital Thermometer (ex. Hanna 98509),USEPA Method 170.1,deg C,WT.7,1,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; <10% field replicate,Probe,Water,TRUE,TRUE,FALSE,TRUE,,,413,0.1 deg C,+- 0.5 deg C,-50 - 150 deg C,,N/A,,N/A,N/A,N/A,,N/A,N/A
Water Temperature,Digital Thermometer (ex. Hanna 98509),USEPA Method 170.1,deg C,WT.11,p,missing QA procedures,Probe,Water,TRUE,TRUE,FALSE,TRUE,,,999,,,,,N/A,,,,,,,
Water Temperature,Multiprobe Sonde Thermistor (Ex. LaMotte 1761),USEPA Method 170.1,deg C,WT.4,3,Tier III approved QAPP,Probe,Water,TRUE,TRUE,TRUE,TRUE,0,50,413,0.1 deg C,+- 0.5 deg C,0 - 50 deg C,,<-1 deg C; >35 deg C,Before each use,Thermometer functions properly and reads approximate air temperature,Annually,NIST Verified thermometer,,N/A,N/A
Water Temperature,Multiprobe Sonde Thermistor (Ex. LaMotte 1761),USEPA Method 170.1,deg C,WT.3,2,"Verified, >10% field replicates",Probe,Water,TRUE,TRUE,TRUE,TRUE,0,50,413,0.1 deg C,+- 0.5 deg C,0 - 50 deg C,,<-1 deg C; >35 deg C,Before each use,Thermometer functions properly and reads approximate air temperature,Annually,NIST Verified thermometer,,N/A,N/A
Water Temperature,Multiprobe Sonde Thermistor (Ex. LaMotte 1761),USEPA Method 170.1,deg C,WT.5,p2,Historic dataset/not trained using CMC methods,Probe,Water,TRUE,TRUE,TRUE,TRUE,0,50,413,0.1 deg C,+- 0.5 deg C,0 - 50 deg C,,<-1 deg C; >35 deg C,Before each use,Thermometer functions properly and reads approximate air temperature,Annually,None,,,
Water Temperature,Multiprobe Sonde Thermistor (Ex. LaMotte 1761),USEPA Method 170.1,deg C,WT.10,1,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; <10% field replicate,Probe,Water,TRUE,TRUE,TRUE,TRUE,,,413,0.1 deg C,+- 0.5 deg C,0 - 50 deg C,,N/A,,N/A,,N/A,,N/A,N/A
Water Temperature,Multiprobe Sonde Thermistor (Ex. LaMotte 1761),USEPA Method 170.1,deg C,WT.13,p1,Historic data/QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; <10% field replicate,Probe,Water,TRUE,TRUE,FALSE,TRUE,,,413,,,,,,,,Before Each Use,,,,
